Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING JUNE, 2015",,,,,,,,
66,FOREVERMARK DIAMONDS PVT LTD,South Africa,ANDREW PHILIP BARTON,REGION NOT INDICATED,PUBLICITY AND PROMOTION OF DIAMONDSAND DIAMOND JEWELLRY,0.00,0.00,
67,STYROLUTION ABS (INDIA) LTD,Singapore,STYROLUTION SOUTH EAST ASIA PTE LTD,REGION NOT INDICATED,MANUFACTURE OF VERSATILE ENGINEERING THERMOPLASTIC,0.16,0.00,
68,GERDAU STEEL INDIA PVT LTD,Spain,GERDAU HOLDINGS EUROPA SA Y CIA SRA,REGION NOT INDICATED,"MANUFACTURE OF PIG IRON, ALLOY STEEL",3.02,0.05,
69,MAAKAN.COM PVT LTD,Singapore,ELARA TECHNOLOGIES PTE LTD,REGION NOT INDICATED,WEBPORTAL FOR LISTING OF PROPERTIES,290.21,4.54,
70,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.02,0.00,
71,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.14,0.00,
72,JSW STEEL LTD,Mauritius,DUFERCO COKE INVESTMENTS LTD,REGION NOT INDICATED,MANUFACTURE OF HOT ROLLED AND COLD ROLLED STEEL PRODUCTS,187.33,2.93,
73,REXAM HTW BEVERAGE CAN (INDIA) PVT LTD,United Kingdom,REXAM HTW BEVERAGE CAN (INDIA) HOLDING L,REGION NOT INDICATED,MANUFACTURING OF METAL CANS,0.00,0.00,
74,MAAKAN.COM PVT LTD,Singapore,ELARA TECHNOLOGIES PTE LTD,REGION NOT INDICATED,WEBPORTAL FOR LISTING OF PROPERTIES,0.11,0.00,
75,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,1.57,0.02,
