Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING JUNE, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
51,SDP TELECOM INDIA PVT. LTD,Canada,SDP Telecom Inc.,CHENNAI,Manufacture of other communication equipments n.e.c.,13.23,0.21,
52,SDP TELECOM INDIA PVT. LTD,Canada,SDP Telecom Inc.,CHENNAI,Manufacture of other communication equipments n.e.c.,9.27,0.15,
53,SDP TELECOM INDIA PVT. LTD,Canada,SDP Telecom Inc.,CHENNAI,Manufacture of other communication equipments n.e.c.,0.46,0.01,
54,SDP TELECOM INDIA PVT. LTD,Canada,SDP Telecom Inc.,CHENNAI,Manufacture of other communication equipments n.e.c.,124.84,1.95,
55,CLEARFORD INDIA PVT LTD,Canada,Clearford Industries INC,NEW DELHI,The operation and maintenance of sewer systems,0.80,0.01,
56,BEIJING LIQUID FILTER NEW MATERIAL TECHN,China,Tongxin Zhuo,NEW DELHI,Manufacture of filtering and purifying machinery or apparatus for liquids and gases,0.20,0.00,
57,BEIJING LIQUID FILTER NEW MATERIAL TECHN,China,Beijing Liquid Filter New Material Techn,NEW DELHI,Manufacture of filtering and purifying machinery or apparatus for liquids and gases,1.57,0.02,
58,RIBEST RIBBONS AND BOWS (INDIA) PVT LTD,China,Yama Ribbons & Bows Co Ltd,HYDERABAD,Finishing of man-made and blended man- made textiles.,10.64,0.17,
59,OMEI EXIM PVT LTD,China,Ming Tsai,NEW DELHI,Other non-specialised wholesale trade n.e.c.,0.25,0.00,
60,GENERAL MOTORS INDIA PVT LTD,China,SAIC GENERAL MOTORS INVESTMENT LIMITED,AHMEDABAD,Manufacture of passenger cars,"1,266.77",19.84,
61,XENON AUTOMOTIVE INDIA PRIVATE LIMITED,China,Fair View Enterprises Limited,CHENNAI,Data processing activities including report writing,1.26,0.02,
62,ZTT INDIA PVT LTD,China,Jiangsu Zhongtian Technology Co Ltd,CHENNAI,Manufacture of fibre optic cables for data transmission or live transmission of images,58.92,0.92,
63,PUBANG MACHINERIES AND ELECTRICS PVT LTD,China,SHANGHAI GONGXIANG ELECTRIC CO LTD,PATNA,Manufacture of other electrical equipment,25.13,0.39,
64,PINGLE GRAIN MACHINERY PRIVATE LIMITED,China,Zuo Kun,NEW DELHI,Manufacture of machinery for the grain milling industry,0.05,0.00,
65,HIGHLY ELECTRICAL,China,SHANGHAI HITACHI ELECTRICAL,AHMEDABAD,"Manufacture of other pumps, compressors,",359.17,5.62,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,APPLIANCES INDIA PRIVA,,APPLIANCES C,,taps and valves etc.,,,
66,DUOLI WOOD INDUSTRY PRIVATE LIMITED,China,ZHANG LILI,AHMEDABAD,Manufacture of other plywood products n.e.c.,0.50,0.01,
67,ST INFOSOLUTIONS PRIVATE LIMITED,China,Manohar Wadhwaney,NEW DELHI,"Wholesale of telephone, mobile phone and communications equipment and parts",3.08,0.05,
68,PINGLE GRAIN MACHINERY PRIVATE LIMITED,China,Ma Xuemei,NEW DELHI,Manufacture of machinery for the grain milling industry,0.05,0.00,
69,COSLIGHT INDIA TELECOM PVT LTD,China,Harbin Coslight Storage Battery Co Ltd,NEW DELHI,"Manufacture of primary cells and primary batteries nd rechargable batteries, cells containing manganese",12.49,0.20,
70,DIGI SYSTEM GURGAON PVT LTD,China,SHANGHAI TERAOKA ELECTRONIC CO. LTD,NEW DELHI,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",1.29,0.02,
71,IDIGITAL ELECTRONICS PRIVATE LIMITED,China,Shenzhen Haifurong Trading Co Ltd,NEW DELHI,Repair of consumer electronics,2.50,0.04,
72,TBEA ENERGY (INDIA) PVT LTD,China,TBEA SHENYANG TRANSFORMER GROUP CO. LTD,AHMEDABAD,Electric power generation using other non conventional sources,391.00,6.12,
73,KEPO ITP ELECTRONICS PVT LTD,China,Ningbo Kepo electronics Co. Ltd,NEW DELHI,"Manufacture of stereo equipment, speaker systems, amplifiers for musical instruments and public address",9.18,0.14,
74,DUOLI WOOD INDUSTRY PRIVATE LIMITED,China,WANG DUO,AHMEDABAD,Manufacture of other plywood products n.e.c.,0.50,0.01,
75,VITAL MATERIALS INDIA PVT LTD,China,Vital Materials Co Ltd,HYDERABAD,"Manufacture of pig iron and spiegeleisen in pigs, blocks or other primary formsforms",6.55,0.10,
76,UCWEB MOBILE PRIVATE LIMITED,China,UC MOBILE NEW WORLD LIMITED,NEW DELHI,Other information service activities n.e.c.,0.10,0.00,
77,UCWEB MOBILE PRIVATE LIMITED,China,UC MOBILE INTERNATIONAL LIMITED,NEW DELHI,Other information service activities n.e.c.,0.00,0.00,
78,UCWEB MOBILE PRIVATE LIMITED,China,UC MOBILE NEW WORLD LIMITED,NEW DELHI,Other information service activities n.e.c.,10.10,0.16,
79,UCWEB MOBILE PRIVATE LIMITED,China,UC MOBILE INTERNATIONAL LIMITED,NEW DELHI,Other information service activities n.e.c.,0.10,0.00,
80,UCWEB MOBILE PRIVATE LIMITED,China,UC MOBILE NEW WORLD LIMITED,NEW DELHI,Other information service activities n.e.c.,99.00,1.55,
81,UCWEB MOBILE PRIVATE LIMITED,China,UC MOBILE INTERNATIONAL LIMITED,NEW DELHI,Other information service activities n.e.c.,1.00,0.02,
82,CSR ZELC INDIA PVT LTD,China,CSR ZHUZHOU LOCOMOTIVE CO LTD,MUMBAI,"Repair of transport equipment, except motor vehicles",10.00,0.16,
83,BONATRANS INDIA PVT LTD,Czech Republic,BONATRANS GROUP A S,MUMBAI,"Manufacture of specialized parts of railway or tramway locomotives or of rolling stock (bogies, axles",135.22,2.12,
