Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING JUNE, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
607,ENERGON RJ WIND POWER PRIVATE LIMITED,Singapore,ENERGON RENEWABLES PTE LTD,BANGALORE,Electric power generation using other non conventional sources,4.00,0.06,
,"CHAITANYA RURAL INTERMEDIATION
DEVELOPME",Singapore,PARTHEEBANVIBINCHRISTIN THEDORE,BANGALORE,"Other financial service activities, except insurance and pension funding activities,
n.e.c.",1.01,0.02,
,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,JHANWERPRAKASH,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",0.62,0.01,
,TWIST MOBILE INDIA PVT LTD,Singapore,Twist Mobile Software Pte Ltd,BHOPAL,Manufacture of electronic games,18.31,0.29,
,ORANGE RENEWABLE,Singapore,Orange Renewable Holding Pte Ltd.,NEW DELHI,Electric power generation using solar energy,168.46,2.64,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,POWER PVT LTD,,,,,,,
612,ORANGE RENEWABLE POWER PVT LTD,Singapore,Orange Renewable Holding Pte. Ltd.,NEW DELHI,Electric power generation using solar energy,0.00,0.00,
613,SUNFORM ENERGY PRIVATE LIMITED,Singapore,NV Vogt Singapore Pte. Ltd.,NEW DELHI,Electric power generation using solar energy,0.25,0.00,
614,INDIAN HEALTH ORGANISATION PVT LTD,Singapore,Aetna Global Benefits (Singapore) Pte Lt,NEW DELHI,Other human health activities n.e.c. (including independent ambulance activities),30.45,0.48,
615,VITAS PHARMA RESEARCH PVT LTD,Singapore,"Jayesh Arvind Parekh, Singapore",HYDERABAD,Research and experimental development on natural sciences and engineering,0.48,0.01,
616,SSN LOGISTICS PRI8VATE LIMITED,Singapore,Internet Fund III Pte Ltd,NEW DELHI,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture,","3,015.01",47.21,
617,GLOBAL CONSUMER PRODUCTS PRIVATE LIMITED,Singapore,Broad Street Investments Holding Singapo,CHENNAI,Manufacture of other non-alcoholic beverages n.e.c.,5.55,0.09,
618,NIDEC INDIA PVT LTD,Singapore,Nidec Singapore Pte. Ltd.,NEW DELHI,Manufacture of electric motors (except internal combustion engine starting motors),299.00,4.68,
619,LATAM AGRO KRIS INDIA PVT. LTD.,Singapore,Latam Agro Asia Holdings Pte. Ltd,NEW DELHI,Warehousing non-refrigerated,3.69,0.06,
620,MASTER CARD INDIA SERVICES PRIVATE LIMIT,Singapore,MASTERCARD ASIA PECIFIC PTE LTD,NEW DELHI,"Other data processing, hosting and related activities n.e.c.",0.50,0.01,
621,MASTER CARD INDIA SERVICES PRIVATE LIMIT,Singapore,MASTERCARD SINGAPORE HOLDING PTE LTD,NEW DELHI,"Other data processing, hosting and related activities n.e.c.",0.01,0.00,
622,"CHAITANYA RURAL INTERMEDIATION
DEVELOPME",Singapore,RAMNARAYANMAHADEVAN,BANGALORE,"Other financial service activities, except insurance and pension funding activities,
n.e.c.",6.87,0.11,
623,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,SRINIVASAN VENKITA PADMANABHAN,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",3.75,0.06,
624,MOSAIC MEDIA VENTURES PVT LTD,Singapore,NWS Digital Asia Pte Ltd,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",31.75,0.50,
625,CROWN INFRA PROJECTS PRIVATE LIMITED,Singapore,Trikar Residential Developers Private Li,NEW DELHI,Construction of buildings carried out on own- account basis or on a fee or contract basis,15.80,0.25,
626,SUNGRACIA TILES PRIVATE LIMITED,Singapore,STAR INDIA HOLDING PTE.LTD,AHMEDABAD,Manufacture of ceramic products n.e.c.,0.05,0.00,
627,SNAPBIZZ CLOUDTECH PRIVATE LIMITED,Singapore,SNAPBIZZ CLOUDTECH PTE. LIMITED,BANGALORE,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",18.42,0.29,
628,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,PRAVEEN SINGHVI,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",1.00,0.02,
629,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,NIRAJMOHINDERGHAI,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",1.51,0.02,
630,ADANI ENTERPRISES LIMITED,Singapore,GUDAMI INTERNATIONAL PTE. LTD.,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,"3,796.92",59.46,
631,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,BHUVANSAURAV,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",1.20,0.02,
632,SOFTBANK TELECOM INDIA PRIVATE LIMITED,Singapore,Softbank Telecom Singapore PTE Ltd,NEW DELHI,Wholesale of computers and computer peripheral equipment,35.00,0.55,
633,BIG SHOE BAZAAR INDIA PVT LTD,Singapore,QUALCOMM ASIA PACIFIC PTE. LTD.,NEW DELHI,Other non-specialised wholesale trade n.e.c.,50.01,0.78,
634,NV VOGTSOLAR ENERGY INDIA PVT. LTD,Singapore,NV VOGT SINGAPORE PTE. LTD,NEW DELHI,Electric power generation using solar energy,2.20,0.03,
635,DAEMON SOFTWARE AND SERVICE PRIVATE LIM,Singapore,Daemon Enterprises Pte Ltd,CHENNAI,Other information technology and computer service activities n.e.c,1.07,0.02,
636,DAEMON SOFTWARE AND SERVICE PRIVATE LIMI,Singapore,Ambrate Rathish Kumar,CHENNAI,Other information technology and computer service activities n.e.c,1.72,0.03,
637,GLOBAL CONSUMER PRODUCTS PRIVATE LIMITED,Singapore,MBD Bridge STreet 2013 Investment Singap,CHENNAI,Manufacture of other non-alcoholic beverages n.e.c.,0.64,0.01,
638,"GLOBAL CONSUMER
PRODUCTS PRIVATE LIMITED",Singapore,Mitsui & Co Ltd,CHENNAI,Manufacture of other non-alcoholic beverages n.e.c.,4.29,0.07,
639,KAWASAKI HEAVY INDUSTRIES (INDIA) PRIVAT,Singapore,Kawasaki Heavy Industries (Singapore) Pt,NEW DELHI,Architectural and engineering activities and related technical consultancy,0.17,0.00,
640,SOFTWAREONE INDIA PRIVATE LIMITED,Singapore,Softwareone PTE Ltd.,NEW DELHI,Wholesale of software,0.00,0.00,
641,SOFTWAREONE INDIA PRIVATE LIMITED,Singapore,Softwareone PTE. Ltd.,NEW DELHI,Wholesale of software,150.88,2.36,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
642,SUGAM VANIJIYA HOLDINGS PVT LTD,Singapore,Virtuous Retail Pte. Ltd.,NEW DELHI,Real estate activities on a fee or contract basis,"2,012.53",31.51,
643,RAYFAM INFRASTRUCTURE PVT LTD,Singapore,Agmark Asia Pte Ltd,NEW DELHI,"Other post harvest crop activities, n.e.c.",15.15,0.24,
644,"HANSEN DRIVES LTD-(now
changed to ZF Win",Singapore,HANSEN DRIVES PTE LTD,CHENNAI,"Manufacture of motor vehicle electrical equipment, such as generators, alternators,
spark plugs, ignition","1,000.00",15.66,
645,TRIMURTI PLANT SCIENCES PRIVATE LIMITED,Singapore,Ocisan Green Investments Pte Ltd,HYDERABAD,Growing of wheat,62.73,0.98,
646,QUICKROUTES INTERNET PRIVATE LIMITED,Singapore,QUICKROUTES INTERNATIONAL PRIVATE LIMITE,BANGALORE,Courier activities,0.10,0.00,
647,GLOBAL UNITED MEDIA COMPANY PRIVATE LIMI,Singapore,Global United Holdings Pte Ltd,CHENNAI,Video production,31.51,0.49,
648,VOLTAS WATER SOLUTIONS PVT LTD,Singapore,Dow Chemical Pacific Singapore Pvt Ltd,MUMBAI,"Water collection, treatment and supply",2.71,0.04,
649,CARIQ TECHNOLOGIES PVT LTD,Singapore,Post Venture Fund 2 pte Ltd,MUMBAI,Providing software support and maintenance to the clients,1.39,0.02,
650,DOLBY LABORATORIES INDIA PVT LTD,Singapore,DOLBY SINGAPORE PTE LTD,MUMBAI,Production of motion picture,0.05,0.00,
651,CONCEPT HOSPITALITY PVT LTD,Singapore,Zinc Hotels and Resorts Global Pte ltd,MUMBAI,"Hotels and Motels, inns, resorts providing
short term lodging facilities includes accommodation in house",21.64,0.34,
652,THE QUOPN COMPANY PVT LTD,Singapore,SUNIL KUMAR NAIR,MUMBAI,Advertising,5.00,0.08,
653,3A COMPOSITES INDIA PVT LTD(O/N ALCAN CO,Singapore,alucobond (far east)  pte ltd.,MUMBAI,Manufacture of Aluminium from alumina and by other methods and products of aluminium and alloys,682.88,10.69,
654,IIFL WEALTH MANAGEMENT LTD,Singapore,AMIT SHAH,MUMBAI,Activities auxiliary to financial service activities n.e.c.,5.89,0.09,
655,IIFL WEALTH MANAGEMENT LTD,Singapore,ABHISEK PUGLIA,MUMBAI,Activities auxiliary to financial service activities n.e.c.,0.01,0.00,
656,IIFL WEALTH MANAGEMENT LTD,Singapore,ARJUN VIJAY CHOPRA,MUMBAI,Activities auxiliary to financial service activities n.e.c.,0.04,0.00,
657,BLUE CUBE CHEMICALS INDIA PVT LTD,Singapore,BLUE CUBE CHEMICALS SINGAPORE PTE LTD,MUMBAI,"Wholesale of industrial chemicals,",412.50,6.46,
658,PACORINI METALS PVT LTD,Singapore,PMA Holdings Pte Ltd.,MUMBAI,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture,",0.40,0.01,
659,CHEP INDIA PVT LTD,Singapore,BRAMBLES IFCO ASIA PTE LTD,MUMBAI,"Renting of other tangible goods with out operator (includes renting of containers, pallets, animals",360.00,5.64,
660,CAPITAL FOODS PVT LTD,Singapore,ARTAL ASIA PTE LTD,MUMBAI,Grinding and processing of spices,224.99,3.52,
661,JIEM INDIA CRAM SCHOOLS PVT LTD,Singapore,JIEM ASIA PACIFIC PTE LTD,MUMBAI,Other educational services n.e.c.,0.90,0.01,
662,APL LOGISTICS VASCOR AUTOMOTIVE PVT LTD,Singapore,APL LOgistics Limited,NEW DELHI,Freight rail transport,106.80,1.67,
663,REEFER CARE SERVICES PRIVATE LIMITED,Singapore,HC RESOURCES PTE LTD,CHENNAI,"Repair and maintenance of metal tanks, reservoirs, containers, steel shipping drums etc.",1.80,0.03,
664,SOLVERRA TECHNOLOGIES PVT LTD,Singapore,SOLVERRA HOLDINGS PTE LTD,MUMBAI,Computer consultancy and computer facilities management activities,0.10,0.00,
665,NV VOGTSOLAR ENERGY INDIA PVT. LTD,Singapore,NV Vogt Solar energy (india) pvt. ltd.,NEW DELHI,Electric power generation using solar energy,5.55,0.09,
666,BLUE CUBE CHEMICALS INDIA PVT LTD,Singapore,BLUE CUBE CHEMICALS SINGAPORE PTE LTD,MUMBAI,"Wholesale of industrial chemicals,",0.10,0.00,
667,KINOBEO SOFTWARE PRIVATE LIMITED,Singapore,Qten Technology Investments PTE LTD,NEW DELHI,Retail sale via e-commerce,59.10,0.93,
668,NV VOGT SOLAR ONE PRIVATE LIMITED,Singapore,NV Vogt Singapore PTE. LTD.,NEW DELHI,Electric power generation using solar energy,2.20,0.03,
669,SEI ADHAVAN POWER PRIVATE LIMITED,Singapore,Sunedison Energy Holding (Singapore) Pte,CHENNAI,Electric power generation using solar energy,0.31,0.00,
670,SEI ADHAVAN POWER PRIVATE LIMITED,Singapore,Sunedison  Products Singapore Pte Ltd,CHENNAI,Electric power generation using solar energy,0.00,0.00,
671,METALITE ECO FUTURE LABS PRIVATE LIMITED,Singapore,Tuskar Holdings Pte. Ltd,NEW DELHI,"Manufacture of other non-metallic mineral
products n.e.c. (includes asbestos yarn and fabric, and articles",3.73,0.06,
672,ORANGE MAHA WIND ENERGY PRIVATE LIMITED,Singapore,Orange Renewable Holding Pte Ltd,NEW DELHI,Electric power generation by hydroelectric power plants,199.77,3.13,
673,REDMART  INDIA PRIVATE LIMITED,Singapore,REDMART LIMITED,BANGALORE,Providing software support and maintenance to the clients,0.10,0.00,
674,ASPIRA DIGITAL INDIA PRIVATE LIMITED,Singapore,LYKE @ SINGTEL PTE LTD,BANGALORE,Wholesale of software,17.05,0.27,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
675,ENERGON RJ WIND POWER PRIVATE LIMITED,Singapore,ENERGON RENEWABLES PTE LTD,BANGALORE,Electric power generation using other non conventional sources,1.00,0.02,
676,ENERGON RJ WIND POWER PRIVATE LIMITED,Singapore,ENERGON RENEWABLES PTE LTD,BANGALORE,Electric power generation using other non conventional sources,4.00,0.06,
677,"WATCHDATA TECHNOLOGIES (INDIA)
PVT. LTD.",Singapore,WATCHDATA TECHNOLOGIES PTE LTD,BANGALORE,Other non-specialised wholesale trade n.e.c.,62.65,0.98,
678,IOL LOGISTICS INDIA PVT LTD,Singapore,IOL LOGISTICS(HOLDING )PTE LTD,MUMBAI,Cargo handling incidental to land transport,0.56,0.01,
679,THERMAL  POWERTECH CORPORATION INDIA LI,Singapore,Sembcorp Utilities PTE Ltd,HYDERABAD,Electric power generation by coal based thermal power plants,"4,937.40",77.32,
680,DOCSUGGEST HEALTHCARE SERVICES PVT LTD,Singapore,HOPE ISLAND PTE LTD,HYDERABAD,Operation of web sites that use a search engine to generate and maintain extensive databases of internet,0.95,0.01,
681,SEALY INDIA TRADING PVT LTD,Singapore,Sealy India (Holding) Pvt Ltd,NEW DELHI,"Manufacture of curtains, bed covers and furnishings",6.23,0.10,
682,SOUTH INDIA KRISHNA OIL AND FATS PVT LTD,Singapore,South India Oils & Fats Pte. Ltd.,NEW DELHI,Manufacture of hydrogenated oil and vanaspati ghee,248.84,3.90,
683,CROWN INFRA PROJECTS PRIVATE LIMITED,Singapore,Trikar Residential Developer Pvt Ltd,NEW DELHI,Construction of buildings carried out on own- account basis or on a fee or contract basis,62.43,0.98,
684,I SQUARED INDIA ADVISORS PRIVATE LIMITED,Singapore,I Squared Asia Advisors Pte Ltd,NEW DELHI,Management consultancy activities,35.00,0.55,
685,CJHG RESTAURANT (G.D) INDIA PRIVATE LIMI,Singapore,CJHG Holdings (S) Pte Limited,NEW DELHI,Bars and Restaurants with bars,2.35,0.04,
686,CROWN INFRA PROJECTS PRIVATE LIMITED,Singapore,Trikar Residential Developers Pvt Ltd,NEW DELHI,Construction of buildings carried out on own- account basis or on a fee or contract basis,117.40,1.84,
687,DROOM TECHNOLOGY PRIVATE LIMITED,Singapore,Droom PTE LTD,NEW DELHI,Telephone based information services,30.94,0.48,
688,CJHG RESTAURANT (G.D) INDIA PRIVATE LIMI,Singapore,CJHG Holdings (S) Pte Limited,NEW DELHI,Bars and Restaurants with bars,4.26,0.07,
689,AGS WORLD TRANSPORT(I) LTD,Singapore,Asian Groupage services Pte. Ltd,MUMBAI,Cargo handling incidental to water transport,1.98,0.03,
690,SPICE BASKET P LTD,Singapore,SPICE BASKET ASIA PTE LTD,MUMBAI,Wholesale of fruits & vegetables,0.51,0.01,
691,SPICE BASKET P LTD,Singapore,SPICE BASKET ASIA PTE LTD,MUMBAI,Wholesale of fruits & vegetables,0.58,0.01,
692,ARKRAY HEALTHCARE PVT LTD(ARKRAY PIRAMAL,Singapore,Arkray Partners Pte.Ltd,MUMBAI,Manufacture of other medical and dental instruments n.e.c.,812.00,12.72,
693,JOIL INDIA PVT LTD,Singapore,JOIL (S) PTE LTD,MUMBAI,Growing of plants for planting,2.29,0.04,
694,JOIL INDIA PVT LTD,Singapore,JOIL(s) PTE LTD,MUMBAI,Growing of plants for planting,2.32,0.04,
695,JOIL INDIA PVT LTD,Singapore,JOIL(S) PTE LTD,MUMBAI,Growing of plants for planting,5.81,0.09,
696,SUNGRACIA TILES PRIVATE LIMITED,Singapore,STAR INDIA HOLDING PTE LTD,AHMEDABAD,Manufacture of ceramic products n.e.c.,0.41,0.01,
697,SILVERNEEDLE HOSPITALITY (INDIA) PRIVATE,Singapore,SILVERNEEDLE HOSPITALITY INTERNATIONAL P,BANGALORE,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",2.36,0.04,
698,KAWASAKI MK INDUSTRIES I P LTD,Singapore,MK ME (S) PTE LTD,BANGALORE,Casting of non-ferrous metals,45.95,0.72,
699,GREAT WEST GLOBAL BUSINESS SERVICES INDI,Singapore,GREAT WEST SERVICES SINGAPORE I PRIVATE,BANGALORE,Other information technology and computer service activities n.e.c,0.00,0.00,
700,GREAT WEST GLOBAL BUSINESS SERVICES INDI,Singapore,GREAT WEST SERVICES SINGAPORE II PRIVATE,BANGALORE,Other information technology and computer service activities n.e.c,0.10,0.00,
701,KAKATIYA ENCLAVES PVT LTD,Singapore,Triumph Global Holdings Ltd,HYDERABAD,Construction of buildings carried out on own- account basis or on a fee or contract basis,0.29,0.00,
702,SHREE RENUKA SUGARS LTD.,Singapore,WALMAR SUGAR HOLDINGS PTE LTD,BANGALORE,Manufacture or refining of sugar (sucrose) from sugercane,"5,170.43",80.96,
703,SURYADEV ALLOYS AND POWER PRIVATE LIMITE,Singapore,Greta Metal Pte Ltd,CHENNAI,Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or,136.62,2.14,
704,Cerana Beverages Pvt Ltd ( Earlier : Cer,Singapore,Poyan Rajamand,NEW DELHI,Wholesale of intoxicants like wines and liquors,2.11,0.03,
705,INSTAREM INDIA PVT LTD,Singapore,INSTAREM PTE LTD,MUMBAI,Management consultancy activities,0.10,0.00,
706,INSTAREM INDIA PVT LTD,Singapore,INSTAREM PTE LTD THROUGH NOMINEE MR  S P,MUMBAI,Management consultancy activities,0.00,0.00,
707,NORMA GROUP PRODUCTS PVT LTD,Singapore,NORMA GROUP  ASIA PACIFIC HOLDING PTE LT,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",13.94,0.22,
708,APP (INDIA) PAPER PRIVATE LIMITED (EAR:,Singapore,Bina Sinar Amity Transportation Services,NEW DELHI,Manufacture of pulp,18.92,0.30,
709,IBIBO GROUP PRIVATE LIMITED,Singapore,MIF INDIA ECOMMERCE PTE. LIMITED,NEW DELHI,Operation of web sites that use a search engine to generate and maintain extensive databases of internet,310.80,4.87,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
710,IBIBO GROUP PRIVATE LIMITED,Singapore,MIH INDIA ECOMMERCE PTE LIMITED,NEW DELHI,Operation of web sites that use a search engine to generate and maintain extensive databases of internet,"3,075.78",48.16,
711,IBIBO GROUP PRIVATE LIMITED,Singapore,MIH INDIA ECOMMERCE PTE LIMITED,NEW DELHI,Operation of web sites that use a search engine to generate and maintain extensive databases of internet,"3,075.78",48.16,
712,VERBATIM MARKETING INDIA PVT LTD,Singapore,Verbatim Marketing (Singapore) Pte Ltd,NEW DELHI,Wholesale trade via e-commerce excluding activities of commission agents,6.25,0.10,
713,CROWN INFRA PROJECTS PRIVATE LIMITED,Singapore,Trikar Residential Developers Private Li,NEW DELHI,Construction of buildings carried out on own- account basis or on a fee or contract basis,15.89,0.25,
714,CONSILIUM SOFTWARE PRIVATE LIMITED,Singapore,Consilium Software Inc (Pte) Ltd,NEW DELHI,Providing software support and maintenance to the clients,5.51,0.09,
715,APPLIED MARINE TECHNOLOGIES PRIVATE LIMI,Singapore,Thome Ship Management Pte Ltd,NEW DELHI,Other educational services n.e.c.,11.86,0.19,
716,DUET INDIA HOTELS (PUNE) PVT LTD,Singapore,Duet India Hotels Pte Ltd,MUMBAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",98.34,1.54,
717,ADANI ENTERPRISES LIMITED,Singapore,GUDAMI INTERNATIONAL PTE. LTD,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,1.97,0.03,
718,KCI MEDICAL INDIA PVT LTD,Singapore,KCI Medical  ASia Pte Ltd,NEW DELHI,"Wholesale of scientific, medical and surgical machinery and equipment",8.90,0.14,
719,KCI MEDICAL INDIA PVT LTD,Singapore,KCI Medical Asia Pte Ltd,NEW DELHI,"Wholesale of scientific, medical and surgical machinery and equipment",0.00,0.00,
720,HYDROMET (INDIA) LIMITED,Singapore,KARTHIKEYA INTERNATIONAL PVT LTD,CHENNAI,"Manufacture of Copper from ore, and other copper products and alloys",4.63,0.07,
721,RAYFAM INFRASTRUCTURE PVT LTD,Singapore,Agmark Asia PTE Ltd,NEW DELHI,"Other post harvest crop activities, n.e.c.",0.98,0.02,
722,LATAM AGRO KRIS INDIA PVT. LTD.,Singapore,Latam Agro Asia Holdings Pte. Ltd.,NEW DELHI,Warehousing non-refrigerated,5.20,0.08,
723,ONE MOBIK WIK SYSTEMS PRIVATE LIMITED,Singapore,Cisco Systems (USA) Pte. Ltd.,NEW DELHI,Other information technology and computer service activities n.e.c,185.74,2.91,
724,GLOBAL CONSUMER PRODUCTS PRIVATE LIMITED,Singapore,Broad Street Investments Holding Singapo,CHENNAI,Manufacture of other non-alcoholic beverages n.e.c.,69.64,1.09,
725,GLOBAL CONSUMER PRODUCTS PRIVATE LIMITED,Singapore,MBD Bridge Street 2013 Investments Singa,CHENNAI,Manufacture of other non-alcoholic beverages n.e.c.,8.08,0.13,
726,GLOBAL CONSUMER PRODUCTS PRIVATE LIMITED,Singapore,Mitsui& Co Ltd,CHENNAI,Manufacture of other non-alcoholic beverages n.e.c.,79.63,1.25,
727,VECTOR ENGINEERING INDIA PRIVATE LIMITED,Singapore,LAU KOK HUI,CHENNAI,"Installation of telecommunications wiring, computer network and cable television wiring, including fibre",5.03,0.08,
728,LU RUI AND CO SERVICES PVT. LTD.,Singapore,LU RUI CO PTE LTD.,KOCHI,Software installation,2.00,0.03,
729,HARRY'S INDIA PVT LTD,Singapore,HARRY'S HOLDINGS PTE LTD,MUMBAI,Bars and Restaurants with bars,49.39,0.77,
730,MITSUBISHI ELECTRIC INDIA PRIVATE LIMITE,Singapore,Mitsubhishi Electric Asia Pte Ltd,NEW DELHI,"Wholesale of other households goods, n.e.c. [Includes wholesale of household equipment and appliances,",209.72,3.28,
731,LATAM AGRO KRIS INDIA PVT. LTD.,Singapore,Latam Agro Asia Holdings Pte. Ltd.,NEW DELHI,Warehousing non-refrigerated,0.05,0.00,
732,TRAFIGURA INDIA PRIVATE LIMITED,Singapore,Trafigura PTE Ltd,MUMBAI,Data processing activities including report writing,"1,621.23",25.39,
733,IBIBO GROUP PRIVATE LIMITED,Singapore,MIH India Ecommerce Pte Ltd,NEW DELHI,Operation of web sites that use a search engine to generate and maintain extensive databases of internet,640.59,10.03,
734,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,SANTHYAMURTHYMALAISWAMY,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",8.03,0.13,
735,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,MANISH DHAWAN,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",1.25,0.02,
736,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,DEEPAK KAUL,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",2.50,0.04,
737,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,ARUN KUMAR SHARMA,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",1.25,0.02,
738,DIGIVATION DIGITAL SOLUTION PRIVATE LIMI,Singapore,SUBROTO SOM,MUMBAI,"Writing , modifying, testing of computer program to meet the needs of a particular
client excluding web-page",6.10,0.10,
739,KIDE INDIA PRIVATE,Spain,Kide S.Coop,NEW DELHI,Manufacture of refrigerating or freezing,0.05,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LIMITED (EAR: RCS KID,,,,"equipment f industrial use, including assemblies of major c",,,
740,PROMMADA CIENTO PRIVATE LIMITED,Spain,"Laser Ken, SA",NEW DELHI,"Manufacture of tubes, pipes and hollow
profiles and of tube or pipe fittings of cast- iron/cast-steel",3.44,0.05,
741,TIKI TAR DANOSA (INDIA)PRIVATE LIMITED,Spain,MISS MARIA PALOMA DEL RIO DE LA CAL,AHMEDABAD,"Manufacture of other petroleum n.e.c.
(includes manufacture of petroleum jelly, micro-crystalline petroleum",0.17,0.00,
742,TIKI TAR DANOSA (INDIA)PRIVATE LIMITED,Spain,ALBERTO IGNACIO DEL RIO DE LA CAL,AHMEDABAD,"Manufacture of other petroleum n.e.c. (includes manufacture of petroleum jelly, micro-crystalline petroleum",0.17,0.00,
743,TIKI TAR DANOSA (INDIA)PRIVATE LIMITED,Spain,ESTHER INES DEL RIO DE LA CAL,AHMEDABAD,"Manufacture of other petroleum n.e.c. (includes manufacture of petroleum jelly, micro-crystalline petroleum",0.17,0.00,
744,TIKI TAR DANOSA (INDIA)PRIVATE LIMITED,Spain,DERIVADOS ASFALTICOS NORMAUZADOS S.A.,AHMEDABAD,"Manufacture of other petroleum n.e.c. (includes manufacture of petroleum jelly, micro-crystalline petroleum",11.87,0.19,
745,TIKI TAR DANOSA (INDIA)PRIVATE LIMITED,Spain,DERIVADOS ASFALTICOS NORMAUZADOS S.A.,AHMEDABAD,"Manufacture of other petroleum n.e.c. (includes manufacture of petroleum jelly, micro-crystalline petroleum",18.55,0.29,
746,TIKI TAR DANOSA (INDIA)PRIVATE LIMITED,Spain,DERIVADOS ASFALTICOS NORMAUZADOS S.A,AHMEDABAD,"Manufacture of other petroleum n.e.c.
(includes manufacture of petroleum jelly, micro-crystalline petroleum",13.30,0.21,
747,TIKI TAR DANOSA (INDIA)PRIVATE LIMITED,Spain,DERIVADOS ASFALTICOS NORMAUZADOS S.A.,AHMEDABAD,"Manufacture of other petroleum n.e.c. (includes manufacture of petroleum jelly, micro-crystalline petroleum",10.78,0.17,
748,GM NATURA INFRASTRUCTURE PRIVATE LIMITED,Spain,NATURA DE LA INDIA SL,BANGALORE,Real estate activities with own or leased property,8.30,0.13,
749,ABC COMPRESSORS INDIA PVT LTD,Spain,Arizaga bastarrica Y Compania S A Spain,MUMBAI,"Manufacture of other pumps, compressors, taps and valves etc.",3.25,0.05,
750,GIRONA FINANCIAL CONSULTANCY SERVICES PV,Spain,SUNIL DEY DAS,KOLKATA,Academic tutoring services,0.22,0.00,
751,GIRONA FINANCIAL CONSULTANCY SERVICES PV,Spain,MARIA DOLORES HOSTA REBES,KOLKATA,Academic tutoring services,0.22,0.00,
752,"GIRONA FINANCIAL
CONSULTANCY SERVICES PV",Spain,SUNIL DEY DS,KOLKATA,Academic tutoring services,0.51,0.01,
753,GIRONA FINANCIAL CONSULTANCY SERVICES PV,Spain,MARIA DOLORES HOSTA REBES,KOLKATA,Academic tutoring services,0.51,0.01,
754,COLOROBBIA CHEMICALS INDIA PRIVATE LIMIT,Spain,COLOROBBIA ESPANA SA,AHMEDABAD,"Manufacture of prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes",49.50,0.78,
755,TEYMA INDIA PVT LTD,Spain,teyma gestion de contratos de consgtrucc,MUMBAI,Other civil engineering projects n.e.c.,27.36,0.43,
756,GIRONA FINANCIAL CONSULTANCY SERVICES PV,Spain,MARIA DOLORES HOSTA  REBES,KOLKATA,Academic tutoring services,0.34,0.01,
