Table No.18 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING MARCH, 2015",,,,,,,,
41,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,3.55,0.06,
42,MEDREICH LTD,Thailand,"THAI MEIJI PHARMACEUTICAL
CO LTD","REGION NOT
INDICATED",PHARMA FOR,0.00,0.00,
43,FIRKI WHOLESALE PVT LTD,Mauritius,SEED FUND 2 INTERNATIONAL,REGION NOT INDICATED,"BUYING, SE",0.29,0.00,
44,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,"REGION
NOT INDICATED",MANUFACTUR,7.64,0.12,
45,FOUNDING YEARS LEARNING SOLUTIONS PVT LT,Mauritius,KAIZEN PRIVATE EQUITY,REGION NOT INDICATED,EDUCATIONA,13.66,0.22,
46,MEDREICH LTD,Japan,MEIJI SEIKA PHARMA CO LTD,"REGION NOT
INDICATED",PHARMA FOR,"3,464.50",55.48,
47,FIRKI WHOLESALE PVT LTD,Mauritius,SEED FUND 2 INTERNATIONAL,REGION NOT INDICATED,"BUYING, SE",20.14,0.32,
48,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,"REGION
NOT INDICATED",MANUFACTUR,7.64,0.12,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
49,ADCOCK INGRAM LTD,South Korea,MEIJI PHARMA KOREA CO LTD,REGION NOT INDICATED,MANUFACTUR,0.00,0.00,
50,ITAAS INDIA PVT LTD,U.S.A,CSS INVESTMENTS LLC,REGION NOT INDICATED,BUSINESS I,0.18,0.00,
51,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,"REGION
NOT INDICATED",MANUFACTUR,6.26,0.10,
52,MEDREICH LIFE CARE LTD,South Korea,MEIJI PHARMA KOREA CO LTD,REGION NOT INDICATED,MARKETING,0.08,0.00,
53,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,"REGION
NOT INDICATED",MANUFACTUR,1.59,0.03,
54,MEDREICH LTD,Japan,MEIJI HOLDINGS CO LTD,REGION NOT INDICATED,PHARMA FOR,0.00,0.00,
55,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,1.62,0.03,
