"Table No. 19 (c)
STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER RBI’s AUTOMATIC ROUTE
107,AIRMASTER INDO PLAST PRIVATE LIMITED,TAMILNADU,Tiruvallur,"Manufacture of domestic electric appliances such as refrigerators, washing machines, vacuum cleaners, mixers, grinders
etc.",Munvar Khan,UAE,30.00,0.40,Received in the Company,
108,AIRMASTER INDO PLAST PRIVATE LIMITED,TAMIL NADU,Tiruvallur,"Manufacture of domestic electric appliances such as refrigerators, washing machines, vacuum cleaners, mixers, grinders
etc.",Munvar Khan,UAE,25.00,0.33,Received in the Company,
109,AIRWALLEX SERVICES INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional,
scientific and technical activities n.e.c.",AIRWALLEX PTY LTD,Australia,1.00,0.01,Received in the Company,
110,AKAMU SOLAR ENERGY PRIVATE LIMITED,Telangana,Hyderabad,Electric power generation using solar energy,Vibrant Energy Holdings Pte. Ltd.,Singapore,1.00,0.01,Received in the Company,
111,"AKARA CAPITAL ADVISORS
PRIVATE LIMITED",DELHI,South Delhi,Financial leasing,Morus Technologies PTE. LTD.,Singapore,149.57,2.04,"Received in
the company",
112,AKSIPRO DIAGNOSTICS P LTD,MAHARASHTRA,Mumbai,"Management consultancy
activities",Ansamira Limited,Cyprus,1054.45,14.35,"Received in
the company",
113,AKSIPRO DIAGNOSTICS P LTD,MAHARASHTRA,Mumbai,"Management consultancy
activities",Ansamira Limited,Cyprus,1314.45,17.89,"Received in
the company",
114,"AKSMD RECHARGEABLE
VEHICLES PRIVATE LIMITED","UTTAR
PRADESH","Gautam Buddha
Nagar","Manufacture of motor
vehicles n.e.c.",MEILI DING,UAE,2.50,0.03,"Received in
the Company",
115,Aktivolabs Digital Health Private Limited,WEST BENGAL,Kolkata,"Other human health activities n.e.c. (including independent ambulance
activities)",Aktivolabs Pte. Ltd.,Singapore,4.29,0.06,Received in the Company,
116,"AKUMA ENERGY PRIVATE
LIMITED",DELHI,East Delhi,"Electric power generation
using solar energy",Milan Skorpil,"Czech
Republic",21.26,0.28,"Received in
the Company",
117,Alcon Laboratories India Private Limited,KARNATAKA,Bengaluru,"Wholesale of scientific, medical and surgical
machinery and equipment",Alcon Inc.,Switzerland,2252.40,30.03,Received in the Company,
118,"ALFA BIOMED INDIA PRIVATE
LIMITED",MAHARASHTRA,Pune,"Manufacture of medicinal
substances used in the",ADNA Global Ltd,Mauritius,130.69,1.75,"Received in
the Company",
