Table No. 19 (c),,,,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS UNDER RBI’s AUTOMATIC ROUTE
RECEIVED DURING APRIL 2020 TO JUNE 2020",,,,,,,,,,
36,AATMA CAPITAL PRIVATE LIMITED,TAMIL NADU,Chennai,"Other financial service activities, except insurance and pension
funding activities, n.e.c.",Nasser Ahmed,UAE,0.30,0.00,"Received in the
company",
37,"ABC COMPRESSORS INDIA PRIVATE
LIMITED",MAHARASHTRA,Pune,"Manufacture of other pumps, compressors, taps and valves etc.",ARIZAGA BASTARRICA Y COMPANIA S.A.,Spain,1.92,0.03,"Received in the
Company",
38,ACADEMIA GLOBE INDIA PRIVATE LIMITED,DELHI,South West Delhi,OTHER EDUCATIONAL SERVICES N.E.C.,LI JIE,China,0.05,0.00,Received in the Company,
39,ACADEMIA GLOBE INDIA PRIVATE LIMITED,DELHI,South West Delhi,OTHER EDUCATIONAL SERVICES N.E.C.,LI YONG,China,0.06,0.00,"Received in the
Company",
40,"ACCELERATE PRODUCTX VENTURES
PRIVATE LIMITED",DELHI,South Delhi,Other non-specialised wholesale trade n.e.c.,Haresh Mahasukhlal Mehta,U.S.A,6.86,0.09,"Received in the
company",
41,ACCELIRATE SOFTECH PRIVATE LIMITED,MAHARASHTRA,Pune,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",ACCELIRATE INC,U.S.A,8.99,0.12,Received in the company,
42,Accretus Edutech Private Limited,MAHARASHTRA,Mumbai,Activities auxiliary to financial service activities n.e.c.,AARON PAUL RESNIK,Australia,9.45,0.12,"Received in the
company",
43,ACCUMEDIA IT PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and computer service activities
n.e.c",AISA NEW VISION MEDIA GROUP CO. LIMITED,HongKong,20.40,0.27,"Received in the
company",
44,ACCUMEDIA IT PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and computer service activities
n.e.c",AISA NEW VISION MEDIA GROUP CO. LIMITED,HongKong,4.80,0.06,"Received in the
company",
45,ACCUMEDIA IT PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and computer service activities
n.e.c",GREAT HARBOR TECHNOLOGY GROUP CO. LIMITED,HongKong,4.80,0.06,"Received in the
company",
46,ACCUMEDIA IT PRIVATE LIMITED,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,GREAT HARBOR TECHNOLOGY GROUP CO. LIMITED,HongKong,20.40,0.27,Received in the company,
47,ACE ENGINEERING SOLUTIONS INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,"Manufacture of other general purpose machinery n.e.c. (fans intended for industrial applications,exhaust hoods for commercial, laboratory or industrial use; calendering or other
rolling machines othe",PRASANNA RAMA RAO UDUPI,UAE,2.97,0.04,Received in the company,
48,ACRO REGENMED PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of other medical and dental instruments n.e.c.,"ACRO Biomedical Co., Ltd.,",Taiwan,0.10,0.00,Brownfield,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Investment Type,
,,,,,,,In Rs,In US$,,
49,Adani Green Energy Twenty Three Limited,GUJARAT,Ahmedabad,Electric power generation using solar energy,Total Solar Singapore Pte Ltd,Singapore,0.10,0.00,Received in the company,
50,Adani Green Energy Twenty Three Limited,GUJARAT,Ahmedabad,Electric power generation using solar energy,Total Solar Singapore Pte Ltd,Singapore,45.00,0.59,"Received in the
company",
51,"ADAPTIVE IT SOLUTIONS INDIA PRIVATE
LIMITED",HARYANA,Gurgaon,"Other information technology and computer service activities
n.e.c",Adaptive Solutions Inc.,U.S.A,1.50,0.02,"Received in the
Company",
52,ADBOND INDUSTRIES PRIVATE LIMITED,GUJARAT,Ahmedabad,"MANUFACTURE OF GELATINE AND ITS DERIVATIVES,
RESINOIDS, GLUES, PREPARED ADHESIVES, INCLUDING RUBBER-BASED GLUES AND ADHESIVES",MR FAN XIAOJIAN,China,0.00,0.00,Received in the company,
53,ADBOND INDUSTRIES PRIVATE LIMITED,GUJARAT,Ahmedabad,"MANUFACTURE OF GELATINE AND ITS DERIVATIVES, RESINOIDS, GLUES, PREPARED ADHESIVES, INCLUDING
RUBBER-BASED GLUES AND ADHESIVES",MR FAN XIAOJIAN,China,0.10,0.00,Received in the company,
54,Aditya Birla Health Insurance Co. Limited,MAHARASHTRA,Mumbai,Non-life insurance,Momentum Metropolitan Strategic Investments Pty Ltd,South Africa,333.20,4.40,"Received in the
company",
55,Aditya Birla Power Composites Limited,GUJARAT,Halol,"Manufacture of electrical insulators and insulating fittings of
ceramics",Maschinenfabrik Reinhausen Gmbh,Germany,17.15,0.23,Greenfield,
56,ADJ UTILITY APPS PRIVATE LIMITED,HARYANA,Gurgaon,"Writing, modifying, testing of computer program to meet the
needs of a particular client excluding web-page designing",Kyte Technologies INC,U.S.A,98.87,1.30,"Received in the
company",
57,"ADRAK ENGINEERING & CONSTRUCTION
INDIA PRIVATE LIMITED",MAHARASHTRA,Mumbai,Other civil engineering projects n.e.c.,Thomas Alexander,Oman,46.00,0.61,"Received in the
Company",
