Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER APPROVAL ROUTE
RECEIVED DURING OCTOBER 2018 TO DECEMBER, 2018",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
48,Tikona Infinet Private Limited,Mauritius,Global Long Short Partners Mauritius I L,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,58.02,0.79,
49,Tikona Infinet Private Limited,Mauritius,Indivision India Partners,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,0.11,0.00,
50,Tikona Infinet Private Limited,Mauritius,Indivision India Partners,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,176.47,2.40,
51,Tikona Infinet Private Limited,Mauritius,Indivision India Partners,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,0.06,0.00,
52,Tikona Infinet Private Limited,Mauritius,Indivision India Partners,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,0.06,0.00,
53,Tikona Infinet Private Limited,Mauritius,Indivision India Partners,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,0.02,0.00,
54,Tikona Infinet Private Limited,Mauritius,Global Long short Partners Mauririus IV,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,"1,034.84",14.05,
55,INDIAN ROTORCRAFT LIMITED,Netherlands,AGUSTA WESTLAND NV,HYDERABAD,Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such,196.46,2.67,
56,BAXTER INDIA P. LTD.,Singapore,BAXTER PACIFIC INVESTMENTS PTE LTD,NEW DELHI,Manufacture of allopathic pharmaceutical preparations,152.00,2.06,
57,Kovai Media Private Limited,Singapore,Yuj Kutumb Pte Ltd,CHENNAI,Publishing of journals and periodicals,21.20,0.29,
58,REED ELSEVIER INDIA PRIVATE LIMITED,Singapore,RE(HAPL)Pte. Ltd.,NEW DELHI,"Publishing of books, brochures, leaflets
and similar publications, including publishing encyclopedias",33.25,0.45,
59,Triguna Hospitality Ventures (India) Pri,Singapore,APHV India Investco Private Limited,NEW DELHI,Activities of holding companies,54.00,0.75,
60,Triguna Hospitality Ventures (India) Pri,Singapore,AAPC Singapore Pte Ltd,NEW DELHI,Activities of holding companies,48.00,0.67,
61,TATA SIA AIRLINES LIMITED,Singapore,SINGAPORE AIRLINES LIMITED,NEW DELHI,Passenger airways,"9,800.00",136.39,
62,SIDBI Social Venture Trust,United Kingdom,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,NEW DELHI,"Trusts, funds and other financial vehicles",162.60,2.26,
63,REED ELSEVIER INDIA PRIVATE LIMITED,United Kingdom,Forpart(HAPL)LTD.,NEW DELHI,"Publishing of books, brochures, leaflets and similar publications, including publishing encyclopedias",2.64,0.04,
64,SIDBI SOCIAL VENTURE TRUST,United Kingdom,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,NEW DELHI,"Trusts, funds and other financial vehicles",90.35,1.23,
65,SIDBI SOCIAL VENTURE TRUST,United Kingdom,"DEPARTMENT FOR INTERNATIONAL
DEVELOPMENT",NEW DELHI,"Trusts, funds and other financial vehicles",319.80,4.34,
66,J.C.BAMFORD INVESTMENTS PRIVATE LIMITED,United Kingdom,JC Bamford Excavators Limited,NEW DELHI,Activities of holding companies,1.00,0.01,
