Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
70,Triveni Aeronautics Private Limited,Canada,Magellan Aerospace Limited,REGION NOT INDICATED,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks, nacelles, airscrews, he",3.3,0.05,
71,HALLI LABS PRIVATE LIMITED,U.S.A,PM LABS INC,REGION NOT INDICATED,Other information technology and computer service activities n.e.c,0.01,0,
72,911 INDIA HEALTHCARE PRIVATE LIMITED,U.S.A,"ROUNDGLASS, LLC",REGION NOT INDICATED,Telephone based information services,22.46,0.32,
73,Loramendi India Private Limited,Spain,Loramendi S. Coop,REGION NOT INDICATED,"Other professional, scientific and technical activities n.e.c.",1.6,0.02,
74,"VENERA TECHNOLOGIES
PRIVATE LIMITED",U.S.A,Taazaa LLC,"REGION NOT
INDICATED",Other information technology and computer service activities n.e.c,5.65,0.08,
75,VROUWEN MACHT PRIVATE LIMITED,Netherlands,MEINDERT WITVLIET,REGION NOT INDICATED,Manufacture of other textiles/textile products n.e.c.,0.01,0,
76,"CEDAR INDIA
CONSULTING PRIVATE LIMITED",United Kingdom,VERSION 1 SOFTWARE UK LIMITED,"REGION
NOT INDICATED",Other information technology and computer service activities n.e.c,4.62,0.07,
77,CANARA STANDARD KEYS PRIVATE LIMITED,Germany,Nosta GmbH,REGION NOT INDICATED,"Manufacture of other general purpose machinery n.e.c. (fans intended for industrial applications,exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling machines othe",3.4,0.05,
78,DANLAW ELECTRONICS ASSEMBLY LIMITED,U.S.A,Danlaw Inc.,REGION NOT INDICATED,"Manufacture of bare printed circuit boards, loading of components onto printed circuit boards; manufacture of
interface cards (e.g. sound, video,",55.5,0.8,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,"controllers, network, modems)",,,
79,AMIDC AUTOMATION TECHNOLOGIES PRIVATE LI,U.S.A,ATI MOTORS INC,REGION NOT INDICATED,"Manufacture of commercial vehicles such as vans, lorries, over-the-road tractors for semi-trailers etc.",0.01,0,
80,PHI INDIA Private Limited,U.S.A,Public Health Institute,"REGION NOT
INDICATED",Management consultancy activities,0.01,0,
81,BYGGING INDIA LTD,Spain,GLOBAL DOMINION ACCESS S.A.,REGION NOT INDICATED,Other specialized construction activities,15.21,0.22,
82,"ITGPRO SUPPORT
SERVICES INDIA PRIVATE LI",United Kingdom,AgriProtein Holdings UK Limited,"REGION
NOT INDICATED",Architectural and engineering activities and related technical consultancy,0.05,0,
83,ABSYZ SOFTWARE CONSULTING PRIVATE LIMITE,U.S.A,Youngsoft Inc,REGION NOT INDICATED,Computer consultancy and computer facilities management activities,35.25,0.51,
84,John Distilleries Private Limited,U.S.A,SAZERAC INVESTMENT HOLDINGS INC,"REGION
NOT INDICATED","Manufacture of distilled, potable,
alcoholic beverages such as whisky, brandy, gin, mixed drinks etc.",367.49,5.29,
85,KAALBI TECHNOLOGIES PRIVATE LIMITED,Israel,RADWARE LTD,REGION NOT INDICATED,Providing software support and maintenance to the clients,13.96,0.2,
86,KAALBI TECHNOLOGIES PRIVATE LIMITED,Israel,RADWARE LTD,"REGION NOT
INDICATED",Providing software support and maintenance to the clients,12.18,0.18,
87,KAALBI TECHNOLOGIES PRIVATE LIMITED,Israel,RADWARE LTD,REGION NOT INDICATED,Providing software support and maintenance to the clients,9.88,0.14,
88,KAALBI TECHNOLOGIES PRIVATE LIMITED,Israel,RADWARE LTD,REGION NOT INDICATED,Providing software support and maintenance to the clients,9.88,0.14,
89,KSH Infra Private Limited,Singapore,G9 Asia I Pte Ltd,REGION NOT INDICATED,Other civil engineering projects n.e.c.,104.59,1.51,
90,KAALBI TECHNOLOGIES PRIVATE LIMITED,Israel,RADWARE LTD,REGION NOT INDICATED,Providing software support and maintenance to the clients,9.88,0.14,
91,Birlasoft Limited,U.S.A,Abhimanyu Dalal,REGION NOT INDICATED,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",0.83,0.01,
92,Snitch Properties And Services Private L,Cayman Islands,BREP Asia SBS Indian L and T Holding II,REGION NOT INDICATED,Real estate activities with own or leased property,0,0,
