Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JANUARY 2016 TO MARCH, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
48,GETIT INFOSERVICES PVT LTD,Mauritius,Astro Entertainment Networks Ltd.,NEW DELHI,"Operation of other websites that act as
portals to the Internet, such as media sites providing periodically",95.00,1.39,
49,GETIT INFOSERVICES PVT LTD,Mauritius,Astro Entertainment Network Ltd.,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",70.00,1.03,
50,GETIT INFOSERVICES PVT LTD,Mauritius,Astro Entertainment Network Ltd,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media
sites providing periodically",100.00,1.47,
51,GETIT INFOSERVICES PVT LTD,Mauritius,Astro Entertainment Network Ltd.,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",115.80,1.70,
52,GETIT INFOSERVICES PVT LTD,Mauritius,Astro Entertainment Networks Ltd.,NEW DELHI,"Operation of other websites that act as
portals to the Internet, such as media sites providing periodically",45.00,0.66,
53,HINDUJA ENERGY INDIA LTD,Mauritius,HINDUJA POWER LTD,MUMBAI,Electric power generation by coal based thermal power plants,25.90,0.39,
54,HINDUJA ENERGY INDIA LTD,Mauritius,HINDUJA POWER LTD,MUMBAI,Electric power generation by coal based thermal power plants,22.52,0.33,
55,UNIQUEST INFRA VENTURES PVT,Mauritius,GHIR INVESTMENTS (MAURITIUS) LTD,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",112.14,1.67,
56,ZOOROPA FOODS PVT LTD,Mauritius,SAIF PARTNERS INDIA IV LTD,NEW DELHI,Activities of holding companies,49.73,0.74,
57,MAIL TODAY NEWSPAPERS PVT. LTD.,Mauritius,AN (MAURITIUS) LTD,NEW DELHI,Printing of newspapers,6.69,0.10,
58,TURMERIC VISION PVT LTD,Mauritius,SOUTH ASIA ASSET CREATION LTD,MUMBAI,Other telecommunications activities,70.00,1.03,
59,STAR INDIA PVT LTD,Mauritius,STAR ISP LTD,MUMBAI,Radio broadcasting,202.26,3.01,
60,STAR INDIA PVT LTD,Mauritius,WORLDWIDE WICKETS,MUMBAI,Radio broadcasting,182.82,2.72,
61,FOX STAR STUDIOS INDIA PVT LTD,Mauritius,FOX STAR STUDIOS HOLDINGS LIMITED,MUMBAI,Production of motion picture,462.14,6.87,
62,TODS RETAIL INDIA PVT. LTD.,Netherlands,TOD INTERNATIONAL BV,MUMBAI,Manufacture of all types of textile garments and clothing accessories,0.80,0.01,
63,SNOWCAP RETAIL (INDIA) PRIVATE LIMITED,Netherlands,MONTBLANC SERVICES B.V,BANGALORE,"Retail sale of photographic, optical and precision equipment",211.65,3.15,
64,ORANGE BUSINESS SERVICES INDIA NETWORK P,Netherlands,EGN B.V,NEW DELHI,Maintenance of telecom network,562.00,8.36,
65,TODS RETAIL INDIA PVT. LTD.,Netherlands,TOD INTERNATIONAL BV,MUMBAI,Manufacture of all types of textile garments and clothing accessories,1.14,0.02,
66,"DAIWA CAPITAL MARKETS FIXED INCOME
PVT L",Netherlands,DAIWA CAPITAL MARKETS ASIA HOLDING BV,MUMBAI,Business brokerage activities,0.10,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
67,AAVISHKAAR INDIA MICRO VENTURE CAPITAL F,Netherlands,Various,MUMBAI,Other monetary intermediation services n.e.c.,62.06,0.91,
68,"DAIWA CAPITAL MARKETS FIXED INCOME
PVT L",Netherlands,DAIWA CAPITAL MARKETS ASIA HODLING BV,MUMBAI,Business brokerage activities,345.44,5.06,
69,AAVISHKAAR INDIA MICRO VENTURE CAPITAL F,Netherlands,Various,MUMBAI,Other monetary intermediation services n.e.c.,118.09,1.73,
70,BTI PAYMENTS PRIVATE LIMITED,Singapore,BTI PAYMENT SINGAPORE PTE LIMITED,BANGALORE,Activities auxiliary to financial service activities n.e.c.,229.44,3.36,
71,INDUS CLEAN ENERGY (INDIA) PVT LTD,Singapore,ASIAN GENCO PTE LTD,NEW DELHI,Other business support service activities n.e.c.,26.22,0.38,
72,INDUS CLEAN ENERGY (INDIA) PVT LTD,Singapore,ASIAN GENCO PTE LTD,NEW DELHI,Other business support service activities n.e.c.,26.22,0.38,
73,MARKS & SPENCER RELIANCE INDIA PVT LTD,Singapore,MARKS AND SPENCER SINGAPORE INVESTMENTS,MUMBAI,Retail sale of household furniture,462.00,6.87,
74,SINCERE WATCH (INDIA) PVT LTD,Singapore,Sincere watch ltd.,NEW DELHI,"Manufacture of watches and clocks,
including instrument panel clocks (except time-recording equipmen",10.90,0.16,
75,SINCERE WATCH (INDIA) PVT LTD,Singapore,Sincere Watch Ltd.,NEW DELHI,"Manufacture of watches and clocks, including instrument panel clocks (except time-recording equipmen",6.58,0.10,
76,"ENCORE ASSET RECONSTRUCTION
COMPANY PRIV",Singapore,ENCORE CAPITAL GROUP SINGAPORE PTE LTD,NEW DELHI,"Other financial service activities, except insurance and pension funding
activities, n.e.c.",11.70,0.17,
77,ENCORE ASSET RECONSTRUCTION COMPANY PRIV,Singapore,ASIA GROWTH INVESTMENT HOLDINGS PTE LTD,NEW DELHI,"Other financial service activities, except insurance and pension funding activities, n.e.c.",7.20,0.11,
78,PRISM TV PRIVATE LIMITED,Singapore,"Nickelodeon Asia holdings PTE Ltd,  sing",HYDERABAD,Radio broadcasting,650.00,9.67,
79,ENDEKA CERAMICS INDIA PVT LTD,Spain,ENDEKA CERAMICS HOLDING I SLU SPAIN,BANGALORE,"Manufacture of prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes",626.44,9.31,
80,Mahindra CIE Automotive Ltd.(Old Name-Ma,Spain,Participaciones Internacionales Autometa,MUMBAI,"Forging, pressing, stamping and roll- forming of metal; powder metallurgy",332.79,4.95,
81,MASSIMO DUTTI INDIA PRIVATE LIMITED,Spain,GRUPO MASSIMO DUTTI S.A.,NEW DELHI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",112.20,1.64,
82,Mahindra CIE Automotive Ltd.(Old Name-Ma,Spain,Participaciones Inetrnacionales Autometa,MUMBAI,"Forging, pressing, stamping and roll- forming of metal; powder metallurgy",630.03,9.37,
83,NEFAB INDIA PVT LTD,Sweden,NEFAB AB,MUMBAI,Activities of collection agencies and credit bureaus,50.00,0.73,
84,NUANCE GROUP (I) PVT. LTD.,Switzerland,THE NUANCE GROUP AG,MUMBAI,"Retail sale via stalls and markets of food, beverages and tobacco products",50.00,0.74,
85,AXIS BANK LIMITED,UAE,RAMESH VENKATESHAN,AHMEDABAD,"Monetary intermediation of commercial
banks, saving banks. postal savings bank and discount houses",1.52,0.02,
86,NABEEL PERFUMES PVT LTD,UAE,MR.ASGHAR ADAM ALI,MUMBAI,Manufacture of other perfumes and toilet preparations n.e.c.,2.30,0.03,
87,AXIS BANK LIMITED,UAE,RAMESH VENKATESHAN,AHMEDABAD,"Monetary intermediation of commercial
banks, saving banks. postal savings bank and discount houses",0.49,0.01,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
88,BUIMERC CORE INVESTMENTS PVT. LTD.,UAE,Mr. SIDHARTH BALACHANDRAN,KOCHI,Management of other investment funds,19.00,0.28,
89,HAYMARKET MEDIA (INDIA) PVT LTD,United Kingdom,HAYMARKET WORLDWIDE LTD,MUMBAI,"Printing of magazines and other
periodicals, books and brochures, maps, atlases, posters etc.",6.00,0.09,
90,SUN PHARMACEUTICAL INDUSTRIES LIMITED,United Kingdom,NICOLAS CASPER DOUTHWAITE,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.00,0.00,
91,MARKS & SPENCER RELIANCE INDIA PVT LTD,United Kingdom,"MARKS AND SPENCER
INTERNATIONAL HOLDINGS",MUMBAI,Retail sale of household furniture,9.24,0.14,
