Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING APRIL 2016 TO JUNE, 2016",,,,,,,,
61,READERS DIGEST BOOK & HOME ENTERTAINMENT,U.S.A,THE READER'S DIGEST ASSOCIATION INC,NEW DELHI,"Printing of magazines and other periodicals, books and brochures, maps, atlases,
posters etc.",9.89,0.15,
62,UTV NEWS LTD,U.S.A,BLOOMBERG L.P,MUMBAI,News agency activities,3.41,0.05,
63,IAPMO PLUMBING CODES & STANDARDS INDIA P,U.S.A,INTERNATIONAL ASSOCIATION OF PLUMBING AN,BANGALORE,Technical testing and analysis,2.00,0.03,
64,SPRINT TELECOM INDIA PVT LTD,U.S.A,SPRINT INTERNATIONAL HOLDING INC,MUMBAI,Other business support service activities n.e.c.,18.50,0.27,
65,"BLOOMBERG TELEVISION
PRODUCTION SERVICES",U.S.A,BLOOMBERG LP,MUMBAI,Other information service activities n.e.c.,0.10,0.00,
66,MAHINDRA TELEPHONICS,U.S.A,Telephonics Corporation,MUMBAI,"aeronautical and nautical, Manufacture of radar",179.94,2.67,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,INTEGRATED SYSTEMS,,,,"equipment, GPS devices, search, detection, navigation,",,,
67,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,VARIOUS EMPLOYEES,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.01,0.00,
68,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,VARIOUS EMPLOYEES,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,
endocrine",0.01,0.00,
69,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,VARIOUS EMPLOYEES,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.03,0.00,
70,VAL PRODUCTS INDIA PVT COMPANY,U.S.A,VAL PRODUCTS INC,MUMBAI,Manufacture of other dairy products n.e.c.,11.93,0.18,
71,FOX CHANNELS (INDIA) PVT. LTD.,U.S.A,FOX INTERNATIONAL CHANNELS (US) INC,MUMBAI,Radio broadcasting,15.79,0.24,
72,FOX CHANNELS (INDIA) PVT. LTD.,U.S.A,FOX INTL CHANNELS (US) INC,MUMBAI,Radio broadcasting,39.10,0.59,
73,FOX CHANNELS (INDIA) PVT. LTD.,U.S.A,FOX INTL CHANNELS (US) INC,MUMBAI,Radio broadcasting,42.09,0.63,
74,FOX CHANNELS (INDIA) PVT. LTD.,U.S.A,FOX INTERNATIONAL CHANNELS (US) INC,MUMBAI,Radio broadcasting,19.81,0.30,
Grand Total,,,,,,"47,226.48",708.08,
