Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING JANUARY 2020 TO MARCH 2020",,,,,,,,,,
74,Bharat Serums and Vaccines Limited,MAHARASHTRA,Mumbai,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",OrbiMed Asia II Mauritius FVCI Investments Limited,Mauritius,2395.04,33.50,Received in the company,
75,BHILANGANA HYDRO POWER LIMITED,UTTARAKHAND,Udham Singh Nagar,Electric power generation by hydroelectric power plants,Stanplast Limited,Mauritius,94.60,1.32,Received in the company,
Sr.No.,Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
76,BHILANGANA HYDRO POWER LIMITED,UTTARAKHAND,Udham Singh Nagar,Electric power generation by hydroelectric power plants,Stanplast Limited,Mauritius,71.44,1.00,Received in the company,
77,BIOFOURMIS INDIA PRIVATE LIMITED,DELHI,Central Delhi,Other information technology and computer service activities n.e.c,Biofourmis Holdings Pte. Ltd,Singapore,0.05,0.00,Received in the company,
78,BIOFOURMIS INDIA PRIVATE LIMITED,DELHI,Central Delhi,Other information technology and computer service activities n.e.c,Niu Wendou,Singapore,0.00,0.00,Received in the Company,
79,BIOMETRONIC MARKETING PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Manufacture of desktop computers, laptop computers, hand-held computers (e.g.
PDA),mainframe computers and computer
servers",Biometronic PTE Ld,Singapore,0.10,0.00,Received in the company,
80,BIOSERVE BIOTECHNOLOGIES (INDIA) PRIVATE LIMITED,TELANGANA,K.V.Rangare ddy,Research and experimental development on natural sciences and engineering,RC PARTNERS INCORPORATED,Japan,0.85,0.01,Received in the company,
81,BRICKWORK INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,REECHA KULKARNI,U.S.A,0.00,0.00,Received in the Company,
82,BRICKWORK INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,SHRUTI KULKARNI,U.S.A,0.00,0.00,Received in the Company,
83,BRICKWORK RATINGS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Activities of collection agencies and credit bureaus,REECHA KULKARNI,U.S.A,0.00,0.00,Received in the Company,
84,BRICKWORK RATINGS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Activities of collection agencies and credit bureaus,SHRUTI KULKARNI,U.S.A,0.00,0.00,Received in the Company,
85,BUNCH MICROTECHNOLOGIES PRIVATE LIMITED,DELHI,East Delhi,Academic tutoring services,STRIVE III INVESTMENT LIMITED PARTNERSHIP,Japan,5.22,0.07,Received in the Company,
86,BUNCH MICROTECHNOLOGIES PRIVATE LIMITED,DELHI,East Delhi,Academic tutoring services,STRIVE III INVESTMENT LIMITED PARTNERSHIP,Japan,0.01,0.00,Received in the Company,
87,BUNCH MICROTECHNOLOGIES PRIVATE LIMITED,DELHI,East Delhi,Academic tutoring services,STRIVE III INVESTMENT LIMITED PARTNERSHIP,Japan,0.01,0.00,Received in the Company,
88,BUNCH MICROTECHNOLOGIES PRIVATE LIMITED,DELHI,East Delhi,Academic tutoring services,STRIVE III INVESTMENT LIMITED PARTNERSHIP,Japan,9.17,0.12,Received in the Company,
89,BXIN Office Parks India Private Limited,HARYANA,Gurgaon,Real estate activities with own or leased property,Ariston Investments Sub A Ltd,Mauritius,0.00,0.00,Received in the company,
90,BXIN Office Parks India Private Limited,HARYANA,Gurgaon,Real estate activities with own or leased property,Ariston Investments Sub A Ltd,Mauritius,0.00,0.00,Received in the company,
91,BXIN Office Parks India Private Limited,HARYANA,Gurgaon,Real estate activities with own or leased property,FIM Holdco I Ltd,Mauritius,0.01,0.00,Received in the company,
92,CAMPAIGN TECHNOLOGY SOLUTIONS PRIVATE LIMITED,MAHARASHTRA,Thane,Other information technology and computer service activities n.e.c,CAMPAIGNTOCASH.COM.INC,Canada,0.10,0.00,Received in the company,
93,CANNYSYS IT SOLUTIONS PRIVATE LIMITED,ANDHRA PRADESH,Visakhapatn am,"Writing, modifying, testing of computer program
to meet the needs of a particular client excluding web-page designing",I9 TECHNOLOGIES,U.S.A,0.16,0.00,Received in the company,
